"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-07-05","0.00","0.0","0.0","83","51","63"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-07-06","0.00","0.0","0.0","86","55","63"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-07-07","0.00","0.0","0.0","87","55","64"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-07-08","0.00","0.0","0.0","92","60","70"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-07-09","0.00","0.0","0.0","96","66","67"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-07-10","0.00","0.0","0.0","99","66","74"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-07-11","0.00","0.0","0.0","96","64","73"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-07-12","0.13","0.0","0.0","87","65","68"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-07-13","0.28","0.0","0.0","83","63","72"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-07-14","0.00","0.0","0.0","93","66","73"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-07-15","0.01","0.0","0.0","93","67","79"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-07-16","0.00","0.0","0.0","96","65","77"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-07-17","0.00","0.0","0.0","101","63","73"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-07-18","0.00","0.0","0.0","101","62","69"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-07-19","0.00","0.0","0.0","98","60","70"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-07-20","0.00","0.0","0.0","98","55","64"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-07-21","0.00","0.0","0.0","93","56","63"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-07-22","0.00","0.0","0.0","92","55","63"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-07-23","0.00","0.0","0.0","88","54","61"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-07-24","0.00","0.0","0.0","92","59","68"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-07-25","0.00","0.0","0.0","93","64","73"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-07-26","0.00","0.0","0.0","98","64","74"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-07-27","0.00","0.0","0.0","101","63","71"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-07-28","0.00","0.0","0.0","105","67","76"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-07-29","0.00","0.0","0.0","104","68","72"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-07-30","0.00","0.0","0.0","102","62","69"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-07-31","0.00","0.0","0.0","98","56","61"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-08-01","0.00","0.0","0.0","99","56","64"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-08-02","0.00","0.0","0.0","99","55","72"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-08-03","0.00","0.0","0.0","101","63","73"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-08-04","0.00","0.0","0.0","103","59","67"
